SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn
07_0040_S,841102.5262,244204.5449,315,47.51387021,21.58508315,112.9762415,10.26278591,26138.02148,3.099021673,10.2198391,60.92179871,520.6478882,12177.57422,10518.34375,520.6478882,1.956726551,10.56118298,10.18674183,2474.575439,69.29444122,87.06642914
07_0041_S,841129.2949,243480.1085,316,47.50734971,21.58512631,111.498622,8.611647606,23685.22656,2.336401224,9.077284813,75.21604156,494.2812195,10448.92383,9755.996094,494.2812195,1.713044405,13.87658501,,2382.792236,85.16122437,45.22502899
06_0121_S,844010.0872,248293.6303,317,47.54977533,21.625454,163.84,,,,,,,,,,,,,,,
01_0014_S,841376.424,243073.5069,318,47.5036222,21.58822987,110.5199343,22.72270393,31835.03516,3.17528367,9.577046394,48.18128967,50.40234756,11816.22559,6504.607422,550.9047852,2.147753239,2.955276012,130.3955841,1854.635986,49.28851318,352.9399414
08_0038_S,842640.2451,244133.4832,319,47.51278083,21.60545703,115.2470896,10.63738394,31860.68359,2.618571043,10.92825651,75.52677917,38.12872887,13133.58203,11147.11719,567.978302,1.569315493,11.53630161,13.96074247,2726.576782,84.47135925,110.9220428
08_0039_S,842874.8344,244067.4196,320,47.51211788,21.60854112,112.1228125,17.42741966,27058.21094,2.364364147,9.1731987,53.15320969,44.31710815,11170.37793,6999.808594,406.5363464,1.806721091,0.127435654,78.46816254,1973.793213,53.01376343,170.4482117
11_0037_S,844088.3442,246612.7412,321,47.53464133,21.625757,191.64,12.15395832,29695.25195,2.448252678,9.590508461,87.02431488,60.09746933,11391.96191,10518.34375,628.2759399,1.418239474,14.75418854,27.9385128,2555.087158,82.81570435,182.6394043
11_0039_S,844435.4289,246425.6398,322,47.53285633,21.63028233,170.62,9.826361656,33045.20703,2.623655796,8.045788765,86.71356201,51.22746277,9959.950195,11287.20898,450.624939,1.5636518,11.73132801,5.504187107,2434.31958,81.16003418,202.280777
11_0042_S,845021.4574,246896.9907,323,47.53691933,21.63826867,164.18,12.61220455,27709.35938,2.097446918,9.659499168,101.6292801,138.4835968,11263.64746,9928.661133,445.7621765,1.419157624,16.70442581,32.69095612,2614.665527,88.1966095,315.7642822
11_0043_S,844808.7621,247102.2617,324,47.538828,21.63553533,167.1,15.26711941,32740.56836,2.954124212,9.518152237,70.55487823,80.0034256,11565.11621,8961.064453,461.8631592,1.581407547,3.832878828,56.94238663,2507.584961,74.81332397,273.4713745
11_0044_S,844579.7468,247292.7989,325,47.540609,21.63257867,167.98,18.25662613,31216.33984,1.840697885,9.213582993,73.04083252,54.32165146,11574.36035,10531.375,504.6549988,1.213436365,12.60893059,87.97305298,2623.521729,81.16003418,209.2794342
